[09:56:26] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[09:56:28] 
[09:56:28] === Stage 1: Kein Spin | 10M Steps | lr=3e-4 | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=10000000
  policy=MLP [512, 512]

  model params: 622,607

  step=   10048 | eps/s= 11136 | success=  0.0% | miss=100.0% | elapsed=  0.9s
  step=   20096 | eps/s=  5316 | success=  0.0% | miss= 99.9% | elapsed=  3.8s
  step=   30144 | eps/s=  6467 | success=  0.0% | miss= 99.9% | elapsed=  4.7s
  step=   40192 | eps/s=  5410 | success=  0.0% | miss= 99.9% | elapsed=  7.4s
  step=   50240 | eps/s=  4579 | success=  0.0% | miss= 99.9% | elapsed= 11.0s
  step=   60288 | eps/s=  4916 | success=  0.0% | miss= 99.9% | elapsed= 12.3s
  step=   70336 | eps/s=  4299 | success=  0.0% | miss= 99.9% | elapsed= 16.4s
  step=   80384 | eps/s=  4594 | success=  0.0% | miss= 99.9% | elapsed= 17.5s
  step=   90432 | eps/s=  4196 | success=  0.0% | miss= 99.8% | elapsed= 21.6s
  step=  100480 | eps/s=  3903 | success=  0.0% | miss= 99.8% | elapsed= 25.7s
  step=  110528 | eps/s=  4095 | success=  0.0% | miss= 99.8% | elapsed= 27.0s
  step=  120576 | eps/s=  3947 | success=  0.0% | miss= 99.8% | elapsed= 30.6s
  step=  130624 | eps/s=  4149 | success=  0.0% | miss= 99.8% | elapsed= 31.5s
  step=  140672 | eps/s=  4018 | success=  0.0% | miss= 99.6% | elapsed= 35.0s
  step=  150720 | eps/s=  3914 | success=  0.0% | miss= 99.6% | elapsed= 38.5s
  step=  160768 | eps/s=  4076 | success=  0.0% | miss= 99.5% | elapsed= 39.4s
  step=  170816 | eps/s=  3974 | success=  0.0% | miss= 99.3% | elapsed= 43.0s
  step=  180864 | eps/s=  3877 | success=  0.0% | miss= 99.1% | elapsed= 46.7s
  step=  190912 | eps/s=  4010 | success=  0.0% | miss= 98.6% | elapsed= 47.6s
  step=  200960 | eps/s=  3933 | success=  0.1% | miss= 98.3% | elapsed= 51.1s
  step=  211008 | eps/s=  4053 | success=  0.0% | miss= 98.1% | elapsed= 52.1s
  step=  221056 | eps/s=  3980 | success=  0.0% | miss= 97.9% | elapsed= 55.5s
  step=  231104 | eps/s=  3926 | success=  0.0% | miss= 97.6% | elapsed= 58.9s
  step=  241152 | eps/s=  4031 | success=  0.1% | miss= 97.3% | elapsed= 59.8s
  step=  251200 | eps/s=  3966 | success=  0.0% | miss= 97.0% | elapsed= 63.3s
  step=  261248 | eps/s=  4061 | success=  0.1% | miss= 97.0% | elapsed= 64.3s
  step=  271296 | eps/s=  3986 | success=  0.0% | miss= 96.7% | elapsed= 68.1s
  step=  281344 | eps/s=  3903 | success=  0.1% | miss= 96.8% | elapsed= 72.1s
  step=  291392 | eps/s=  3982 | success=  0.1% | miss= 97.0% | elapsed= 73.2s
  step=  301440 | eps/s=  3925 | success=  0.1% | miss= 96.7% | elapsed= 76.8s
  step=  311488 | eps/s=  3883 | success=  0.0% | miss= 96.3% | elapsed= 80.2s
  step=  321536 | eps/s=  3963 | success=  0.0% | miss= 96.3% | elapsed= 81.1s
  step=  331584 | eps/s=  3907 | success=  0.1% | miss= 96.2% | elapsed= 84.9s
  step=  341632 | eps/s=  3967 | success=  0.0% | miss= 96.1% | elapsed= 86.1s
  step=  351680 | eps/s=  3897 | success=  0.0% | miss= 96.1% | elapsed= 90.3s
  step=  361728 | eps/s=  3836 | success=  0.0% | miss= 95.9% | elapsed= 94.3s
  step=  371776 | eps/s=  3881 | success=  0.0% | miss= 96.2% | elapsed= 95.8s
  step=  381824 | eps/s=  3823 | success=  0.0% | miss= 96.2% | elapsed= 99.9s
  step=  391872 | eps/s=  3882 | success=  0.1% | miss= 95.9% | elapsed=101.0s
  step=  401920 | eps/s=  3851 | success=  0.0% | miss= 95.9% | elapsed=104.4s
  step=  411968 | eps/s=  3819 | success=  0.1% | miss= 95.9% | elapsed=107.9s
  step=  422016 | eps/s=  3879 | success=  0.0% | miss= 95.8% | elapsed=108.8s
  step=  432064 | eps/s=  3856 | success=  0.0% | miss= 95.6% | elapsed=112.1s
  step=  442112 | eps/s=  3913 | success=  0.1% | miss= 95.4% | elapsed=113.0s
  step=  452160 | eps/s=  3884 | success=  0.1% | miss= 95.9% | elapsed=116.4s
  step=  462208 | eps/s=  3859 | success=  0.0% | miss= 95.6% | elapsed=119.8s
  step=  472256 | eps/s=  3913 | success=  0.0% | miss= 95.7% | elapsed=120.7s
  step=  482304 | eps/s=  3886 | success=  0.1% | miss= 95.5% | elapsed=124.1s
  step=  492352 | eps/s=  3860 | success=  0.0% | miss= 95.7% | elapsed=127.6s
  step=  502400 | eps/s=  3910 | success=  0.1% | miss= 95.5% | elapsed=128.5s
  step=  512448 | eps/s=  3885 | success=  0.1% | miss= 95.8% | elapsed=131.9s
  step=  522496 | eps/s=  3934 | success=  0.0% | miss= 95.7% | elapsed=132.8s
  step=  532544 | eps/s=  3906 | success=  0.0% | miss= 95.8% | elapsed=136.3s
  step=  542592 | eps/s=  3879 | success=  0.0% | miss= 95.7% | elapsed=139.9s
  step=  552640 | eps/s=  3924 | success=  0.0% | miss= 95.4% | elapsed=140.8s
  step=  562688 | eps/s=  3897 | success=  0.1% | miss= 95.5% | elapsed=144.4s
  step=  572736 | eps/s=  3943 | success=  0.1% | miss= 95.2% | elapsed=145.3s
  step=  582784 | eps/s=  3919 | success=  0.1% | miss= 95.3% | elapsed=148.7s
  step=  592832 | eps/s=  3899 | success=  0.1% | miss= 95.5% | elapsed=152.1s
  step=  602880 | eps/s=  3943 | success=  0.0% | miss= 95.0% | elapsed=152.9s
  step=  612928 | eps/s=  3917 | success=  0.1% | miss= 95.5% | elapsed=156.5s
  step=  622976 | eps/s=  3899 | success=  0.0% | miss= 95.2% | elapsed=159.8s
  step=  633024 | eps/s=  3939 | success=  0.1% | miss= 95.1% | elapsed=160.7s
  step=  643072 | eps/s=  3919 | success=  0.1% | miss= 94.8% | elapsed=164.1s
  step=  653120 | eps/s=  3958 | success=  0.1% | miss= 95.1% | elapsed=165.0s
  step=  663168 | eps/s=  3936 | success=  0.0% | miss= 95.3% | elapsed=168.5s
  step=  673216 | eps/s=  3920 | success=  0.1% | miss= 95.0% | elapsed=171.7s
  step=  683264 | eps/s=  3958 | success=  0.0% | miss= 94.8% | elapsed=172.6s
  step=  693312 | eps/s=  3940 | success=  0.1% | miss= 94.8% | elapsed=176.0s
  step=  703360 | eps/s=  3977 | success=  0.1% | miss= 95.0% | elapsed=176.9s
  step=  713408 | eps/s=  3963 | success=  0.0% | miss= 94.9% | elapsed=180.0s
  step=  723456 | eps/s=  3943 | success=  0.1% | miss= 94.3% | elapsed=183.5s
  step=  733504 | eps/s=  3979 | success=  0.1% | miss= 95.0% | elapsed=184.4s
  step=  743552 | eps/s=  3960 | success=  0.1% | miss= 94.9% | elapsed=187.8s
  step=  753600 | eps/s=  3995 | success=  0.1% | miss= 94.8% | elapsed=188.6s
  step=  763648 | eps/s=  3975 | success=  0.0% | miss= 94.5% | elapsed=192.1s
  step=  773696 | eps/s=  3958 | success=  0.1% | miss= 94.4% | elapsed=195.5s
  step=  783744 | eps/s=  3991 | success=  0.1% | miss= 94.3% | elapsed=196.4s
  step=  793792 | eps/s=  3975 | success=  0.0% | miss= 94.5% | elapsed=199.7s
  step=  803840 | eps/s=  3958 | success=  0.1% | miss= 94.6% | elapsed=203.1s
  step=  813888 | eps/s=  3990 | success=  0.1% | miss= 94.3% | elapsed=204.0s
  step=  823936 | eps/s=  3972 | success=  0.0% | miss= 94.5% | elapsed=207.4s
  step=  833984 | eps/s=  4003 | success=  0.1% | miss= 94.5% | elapsed=208.3s
  step=  844032 | eps/s=  3989 | success=  0.1% | miss= 94.4% | elapsed=211.6s
  step=  854080 | eps/s=  3962 | success=  0.0% | miss= 93.9% | elapsed=215.6s
