[17:49:55] === Baue Rust-Modul (maturin build --release) ===
🔗 Found pyo3 bindings
🐍 Found CPython 3.12 at /usr/bin/python3
    Finished `release` profile [optimized] target(s) in 0.03s
📦 Built wheel for CPython 3.12 to /home/sefo/devel/spinoza/target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Defaulting to user installation because normal site-packages is not writeable
Processing ./target/wheels/spinoza-0.1.0-cp312-cp312-manylinux_2_34_x86_64.whl
Installing collected packages: spinoza
  Attempting uninstall: spinoza
    Found existing installation: spinoza 0.1.0
    Uninstalling spinoza-0.1.0:
      Successfully uninstalled spinoza-0.1.0
Successfully installed spinoza-0.1.0
spinoza OK
[17:49:57] 
[17:49:57] === Stage 1: Kein Spin | 20M Steps | lr=3e-4→1e-5 (decay) | ent=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=  100032 | eps/s=  4333 | success=  0.0% | miss= 99.9% | elapsed= 23.1s
  step=  200064 | eps/s=  4299 | success=  0.0% | miss= 99.7% | elapsed= 46.5s
  step=  300096 | eps/s=  4287 | success=  0.0% | miss= 97.8% | elapsed= 70.0s
  step=  400128 | eps/s=  4267 | success=  0.0% | miss= 96.7% | elapsed= 93.8s
  step=  500160 | eps/s=  4254 | success=  0.0% | miss= 96.3% | elapsed=117.6s
  step=  600192 | eps/s=  4250 | success=  0.0% | miss= 96.2% | elapsed=141.2s
  step=  700224 | eps/s=  4238 | success=  0.1% | miss= 96.0% | elapsed=165.2s
  step=  800256 | eps/s=  4249 | success=  0.1% | miss= 95.9% | elapsed=188.3s
  step=  900288 | eps/s=  4253 | success=  0.1% | miss= 95.8% | elapsed=211.7s
  step= 1000320 | eps/s=  4221 | success=  0.1% | miss= 95.5% | elapsed=237.0s
  step= 1100352 | eps/s=  4229 | success=  0.1% | miss= 95.3% | elapsed=260.2s
  step= 1200384 | eps/s=  4239 | success=  0.2% | miss= 95.5% | elapsed=283.1s
  step= 1300416 | eps/s=  4243 | success=  0.2% | miss= 95.6% | elapsed=306.5s
  step= 1400448 | eps/s=  4246 | success=  0.2% | miss= 95.3% | elapsed=329.8s
  step= 1500480 | eps/s=  4255 | success=  0.2% | miss= 95.0% | elapsed=352.6s
  step= 1600512 | eps/s=  4264 | success=  0.2% | miss= 94.8% | elapsed=375.4s
  step= 1700544 | eps/s=  4270 | success=  0.2% | miss= 94.4% | elapsed=398.2s
  step= 1800576 | eps/s=  4277 | success=  0.3% | miss= 94.3% | elapsed=421.0s
  step= 1900608 | eps/s=  4261 | success=  0.2% | miss= 94.2% | elapsed=446.1s
  step= 2000640 | eps/s=  4267 | success=  0.3% | miss= 94.0% | elapsed=468.8s
  step= 2100672 | eps/s=  4272 | success=  0.2% | miss= 94.0% | elapsed=491.8s
  step= 2200704 | eps/s=  4274 | success=  0.2% | miss= 93.6% | elapsed=514.9s
  step= 2300736 | eps/s=  4277 | success=  0.3% | miss= 93.3% | elapsed=538.0s
  step= 2400768 | eps/s=  4280 | success=  0.3% | miss= 93.2% | elapsed=560.9s
  step= 2500800 | eps/s=  4282 | success=  0.3% | miss= 92.7% | elapsed=584.1s
  step= 2600832 | eps/s=  4281 | success=  0.4% | miss= 92.7% | elapsed=607.6s
  step= 2700864 | eps/s=  4282 | success=  0.4% | miss= 92.2% | elapsed=630.8s
  step= 2800896 | eps/s=  4282 | success=  0.4% | miss= 92.1% | elapsed=654.1s
  step= 2900928 | eps/s=  4268 | success=  0.4% | miss= 92.0% | elapsed=679.7s
  step= 3000960 | eps/s=  4270 | success=  0.4% | miss= 91.9% | elapsed=702.9s
  step= 3100992 | eps/s=  4270 | success=  0.4% | miss= 91.3% | elapsed=726.2s
  step= 3201024 | eps/s=  4272 | success=  0.5% | miss= 91.0% | elapsed=749.2s
  step= 3301056 | eps/s=  4274 | success=  0.4% | miss= 90.9% | elapsed=772.3s
  step= 3401088 | eps/s=  4268 | success=  0.5% | miss= 90.5% | elapsed=796.9s
  step= 3501120 | eps/s=  4264 | success=  0.6% | miss= 90.4% | elapsed=821.1s
  step= 3601152 | eps/s=  4266 | success=  0.7% | miss= 90.3% | elapsed=844.1s
  step= 3701184 | eps/s=  4269 | success=  0.8% | miss= 90.2% | elapsed=867.0s
  step= 3801216 | eps/s=  4260 | success=  0.9% | miss= 89.6% | elapsed=892.3s
  step= 3901248 | eps/s=  4261 | success=  0.8% | miss= 89.5% | elapsed=915.5s
  step= 4001280 | eps/s=  4262 | success=  0.8% | miss= 89.2% | elapsed=938.9s
  step= 4101312 | eps/s=  4263 | success=  1.0% | miss= 88.6% | elapsed=962.1s
  step= 4201344 | eps/s=  4265 | success=  0.9% | miss= 88.4% | elapsed=985.1s
  step= 4301376 | eps/s=  4267 | success=  1.0% | miss= 88.0% | elapsed=1008.1s
  step= 4401408 | eps/s=  4268 | success=  1.2% | miss= 87.9% | elapsed=1031.3s
  step= 4501440 | eps/s=  4268 | success=  1.4% | miss= 88.3% | elapsed=1054.8s
  step= 4601472 | eps/s=  4268 | success=  1.5% | miss= 87.3% | elapsed=1078.0s
  step= 4701504 | eps/s=  4270 | success=  1.5% | miss= 87.3% | elapsed=1101.1s
  step= 4801536 | eps/s=  4260 | success=  1.4% | miss= 86.8% | elapsed=1127.1s
  step= 4901568 | eps/s=  4260 | success=  1.4% | miss= 86.6% | elapsed=1150.7s
  step= 5001600 | eps/s=  4261 | success=  1.4% | miss= 85.9% | elapsed=1173.9s
  step= 5101632 | eps/s=  4261 | success=  1.5% | miss= 85.8% | elapsed=1197.2s
