[15:04:11] === Stage 2 | flache Bahn Reward | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step=  100032 | eps/s=  7583 | success= 14.2% | miss= 68.4% | elapsed= 13.2s
  step=  200064 | eps/s=  7510 | success= 15.0% | miss= 67.6% | elapsed= 26.6s
  step=  300096 | eps/s=  7522 | success= 15.0% | miss= 67.1% | elapsed= 39.9s
  step=  400128 | eps/s=  7540 | success= 16.3% | miss= 66.6% | elapsed= 53.1s
  step=  500160 | eps/s=  7526 | success= 17.3% | miss= 66.0% | elapsed= 66.5s
  step=  600192 | eps/s=  7521 | success= 16.5% | miss= 66.4% | elapsed= 79.8s
  step=  700224 | eps/s=  7534 | success= 16.2% | miss= 66.5% | elapsed= 92.9s
  step=  800256 | eps/s=  7551 | success= 18.2% | miss= 65.7% | elapsed=106.0s
  step=  900288 | eps/s=  7560 | success= 17.8% | miss= 65.8% | elapsed=119.1s
  step= 1000320 | eps/s=  7549 | success= 18.6% | miss= 65.2% | elapsed=132.5s
  step= 1100352 | eps/s=  7553 | success= 17.4% | miss= 65.0% | elapsed=145.7s
  step= 1200384 | eps/s=  7554 | success= 14.9% | miss= 65.4% | elapsed=158.9s
  step= 1300416 | eps/s=  7556 | success= 19.1% | miss= 64.9% | elapsed=172.1s
  step= 1400448 | eps/s=  7550 | success= 16.5% | miss= 63.9% | elapsed=185.5s
  step= 1500480 | eps/s=  7501 | success= 16.8% | miss= 64.8% | elapsed=200.0s
  step= 1600512 | eps/s=  7473 | success= 19.9% | miss= 63.8% | elapsed=214.2s
  step= 1700544 | eps/s=  7464 | success= 20.2% | miss= 63.7% | elapsed=227.8s
  step= 1800576 | eps/s=  7450 | success= 18.0% | miss= 63.9% | elapsed=241.7s
  step= 1900608 | eps/s=  7322 | success= 19.0% | miss= 64.6% | elapsed=259.6s
  step= 2000640 | eps/s=  7187 | success= 19.4% | miss= 64.4% | elapsed=278.4s
  step= 2100672 | eps/s=  7093 | success= 19.5% | miss= 63.9% | elapsed=296.2s
  step= 2200704 | eps/s=  7016 | success= 18.9% | miss= 66.3% | elapsed=313.7s
  step= 2300736 | eps/s=  6951 | success= 18.7% | miss= 65.3% | elapsed=331.0s
  step= 2400768 | eps/s=  6885 | success= 19.9% | miss= 63.3% | elapsed=348.7s
  step= 2500800 | eps/s=  6842 | success= 19.9% | miss= 65.3% | elapsed=365.5s
  step= 2600832 | eps/s=  6789 | success= 19.1% | miss= 64.5% | elapsed=383.1s
  step= 2700864 | eps/s=  6790 | success= 20.2% | miss= 62.9% | elapsed=397.8s
  step= 2800896 | eps/s=  6797 | success= 21.5% | miss= 62.5% | elapsed=412.1s
  step= 2900928 | eps/s=  6805 | success= 21.6% | miss= 62.5% | elapsed=426.3s
  step= 3000960 | eps/s=  6815 | success= 18.3% | miss= 62.3% | elapsed=440.3s
  step= 3100992 | eps/s=  6836 | success= 21.9% | miss= 62.7% | elapsed=453.7s
  step= 3201024 | eps/s=  6857 | success= 20.2% | miss= 62.9% | elapsed=466.8s
  step= 3301056 | eps/s=  6854 | success= 20.5% | miss= 63.4% | elapsed=481.6s
  step= 3401088 | eps/s=  6848 | success= 21.1% | miss= 64.2% | elapsed=496.6s
  step= 3501120 | eps/s=  6828 | success= 19.6% | miss= 64.4% | elapsed=512.8s
  step= 3601152 | eps/s=  6827 | success= 20.5% | miss= 64.0% | elapsed=527.5s
  step= 3701184 | eps/s=  6824 | success= 21.3% | miss= 64.0% | elapsed=542.4s
  step= 3801216 | eps/s=  6830 | success= 21.3% | miss= 61.5% | elapsed=556.5s
  step= 3901248 | eps/s=  6847 | success= 22.3% | miss= 61.7% | elapsed=569.8s
  step= 4001280 | eps/s=  6861 | success= 21.4% | miss= 63.5% | elapsed=583.2s
  step= 4101312 | eps/s=  6876 | success= 18.6% | miss= 68.0% | elapsed=596.5s
  step= 4201344 | eps/s=  6889 | success= 21.7% | miss= 64.0% | elapsed=609.9s
  step= 4301376 | eps/s=  6899 | success= 21.0% | miss= 62.9% | elapsed=623.5s
  step= 4401408 | eps/s=  6905 | success= 21.9% | miss= 63.0% | elapsed=637.4s
  step= 4501440 | eps/s=  6911 | success= 23.3% | miss= 61.2% | elapsed=651.3s
  step= 4601472 | eps/s=  6917 | success= 23.7% | miss= 61.3% | elapsed=665.2s
  step= 4701504 | eps/s=  6925 | success= 23.2% | miss= 61.0% | elapsed=679.0s
  step= 4801536 | eps/s=  6931 | success= 24.2% | miss= 60.4% | elapsed=692.8s
  step= 4901568 | eps/s=  6943 | success= 20.1% | miss= 66.0% | elapsed=706.0s
