[12:13:25] === Stage 2 von ckpt_9000000 | 20M Steps | lr=1e-5 | 512x512 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage1_checkpoints/ckpt_9000000_steps
  model params: 622,607

  step=  100032 | eps/s=  3755 | success= 14.8% | miss= 67.6% | elapsed= 26.6s
  step=  200064 | eps/s=  3757 | success= 16.3% | miss= 65.7% | elapsed= 53.3s
  step=  300096 | eps/s=  3758 | success= 18.6% | miss= 64.6% | elapsed= 79.8s
  step=  400128 | eps/s=  3772 | success= 20.2% | miss= 63.9% | elapsed=106.1s
  step=  500160 | eps/s=  3772 | success= 20.5% | miss= 64.0% | elapsed=132.6s
  step=  600192 | eps/s=  3765 | success= 20.3% | miss= 63.9% | elapsed=159.4s
  step=  700224 | eps/s=  3764 | success= 21.9% | miss= 61.9% | elapsed=186.0s
  step=  800256 | eps/s=  3750 | success= 22.6% | miss= 62.8% | elapsed=213.4s
  step=  900288 | eps/s=  3744 | success= 21.3% | miss= 66.3% | elapsed=240.4s
  step= 1000320 | eps/s=  3717 | success= 25.2% | miss= 60.3% | elapsed=269.1s
  step= 1100352 | eps/s=  3725 | success= 26.5% | miss= 58.4% | elapsed=295.4s
  step= 1200384 | eps/s=  3734 | success= 26.9% | miss= 59.2% | elapsed=321.5s
  step= 1300416 | eps/s=  3737 | success= 28.5% | miss= 57.0% | elapsed=348.0s
  step= 1400448 | eps/s=  3738 | success= 30.6% | miss= 54.7% | elapsed=374.7s
  step= 1500480 | eps/s=  3745 | success= 30.7% | miss= 54.3% | elapsed=400.6s
  step= 1600512 | eps/s=  3746 | success= 30.4% | miss= 56.6% | elapsed=427.2s
  step= 1700544 | eps/s=  3746 | success= 32.0% | miss= 54.4% | elapsed=453.9s
  step= 1800576 | eps/s=  3746 | success= 31.2% | miss= 55.7% | elapsed=480.6s
  step= 1900608 | eps/s=  3728 | success= 29.9% | miss= 57.9% | elapsed=509.8s
  step= 2000640 | eps/s=  3729 | success= 30.8% | miss= 55.6% | elapsed=536.4s
  step= 2100672 | eps/s=  3733 | success= 33.0% | miss= 51.1% | elapsed=562.8s
  step= 2200704 | eps/s=  3734 | success= 35.5% | miss= 49.9% | elapsed=589.3s
  step= 2300736 | eps/s=  3737 | success= 39.5% | miss= 46.1% | elapsed=615.7s
  step= 2400768 | eps/s=  3736 | success= 37.6% | miss= 46.9% | elapsed=642.5s
  step= 2500800 | eps/s=  3749 | success= 40.5% | miss= 46.2% | elapsed=667.1s
  step= 2600832 | eps/s=  3761 | success= 37.3% | miss= 48.6% | elapsed=691.5s
  step= 2700864 | eps/s=  3761 | success= 37.9% | miss= 45.4% | elapsed=718.2s
  step= 2800896 | eps/s=  3761 | success= 28.5% | miss= 43.1% | elapsed=744.6s
  step= 2900928 | eps/s=  3750 | success= 25.8% | miss= 44.9% | elapsed=773.6s
  step= 3000960 | eps/s=  3750 | success= 34.9% | miss= 45.1% | elapsed=800.3s
  step= 3100992 | eps/s=  3750 | success= 40.3% | miss= 46.4% | elapsed=827.0s
  step= 3201024 | eps/s=  3750 | success= 44.6% | miss= 42.6% | elapsed=853.7s
  step= 3301056 | eps/s=  3751 | success= 45.8% | miss= 41.3% | elapsed=880.1s
  step= 3401088 | eps/s=  3751 | success= 45.8% | miss= 42.0% | elapsed=906.8s
