[13:34:43] === Stage 2 von ckpt_13000000 | lr=1e-5 | n_epochs=5 | target_kl=0.01 ===
=== spinoza RL Training ===
  n_envs=64, difficulty=2
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=1e-05
  Loading pretrained model: models/ppo_stage2_checkpoints/ckpt_13000000_steps
  model params: 622,607

  step=  100032 | eps/s=  5036 | success= 77.5% | miss=  4.2% | elapsed= 19.9s
  step=  200064 | eps/s=  4936 | success= 78.8% | miss=  3.6% | elapsed= 40.5s
  step=  300096 | eps/s=  4945 | success= 79.8% | miss=  3.5% | elapsed= 60.7s
  step=  400128 | eps/s=  5008 | success= 80.2% | miss=  3.2% | elapsed= 79.9s
  step=  500160 | eps/s=  4992 | success= 80.3% | miss=  3.2% | elapsed=100.2s
  step=  600192 | eps/s=  4980 | success= 80.2% | miss=  3.2% | elapsed=120.5s
  step=  700224 | eps/s=  4977 | success= 80.5% | miss=  3.1% | elapsed=140.7s
  step=  800256 | eps/s=  4976 | success= 80.4% | miss=  3.0% | elapsed=160.8s
  step=  900288 | eps/s=  4976 | success= 80.5% | miss=  3.0% | elapsed=180.9s
  step= 1000320 | eps/s=  4939 | success= 80.5% | miss=  3.0% | elapsed=202.5s
  step= 1100352 | eps/s=  4957 | success= 80.5% | miss=  3.0% | elapsed=222.0s
  step= 1200384 | eps/s=  4948 | success= 80.5% | miss=  2.9% | elapsed=242.6s
  step= 1300416 | eps/s=  4946 | success= 80.6% | miss=  3.0% | elapsed=262.9s
  step= 1400448 | eps/s=  4968 | success= 81.1% | miss=  2.9% | elapsed=281.9s
  step= 1500480 | eps/s=  4963 | success= 80.8% | miss=  2.9% | elapsed=302.4s
  step= 1600512 | eps/s=  4972 | success= 81.3% | miss=  2.9% | elapsed=321.9s
  step= 1700544 | eps/s=  4964 | success= 81.3% | miss=  2.9% | elapsed=342.6s
  step= 1800576 | eps/s=  4966 | success= 81.4% | miss=  2.8% | elapsed=362.6s
  step= 1900608 | eps/s=  4943 | success= 81.2% | miss=  2.8% | elapsed=384.5s
  step= 2000640 | eps/s=  4940 | success= 81.2% | miss=  2.8% | elapsed=405.0s
  step= 2100672 | eps/s=  4939 | success= 81.7% | miss=  2.8% | elapsed=425.3s
  step= 2200704 | eps/s=  4937 | success= 81.0% | miss=  2.8% | elapsed=445.7s
  step= 2300736 | eps/s=  4936 | success= 81.6% | miss=  2.7% | elapsed=466.1s
  step= 2400768 | eps/s=  4933 | success= 81.3% | miss=  2.7% | elapsed=486.7s
  step= 2500800 | eps/s=  4938 | success= 81.4% | miss=  2.7% | elapsed=506.5s
  step= 2600832 | eps/s=  4927 | success= 81.9% | miss=  2.7% | elapsed=527.9s
  step= 2700864 | eps/s=  4923 | success= 81.9% | miss=  2.7% | elapsed=548.6s
  step= 2800896 | eps/s=  4936 | success= 82.1% | miss=  2.7% | elapsed=567.4s
  step= 2900928 | eps/s=  4923 | success= 81.7% | miss=  2.6% | elapsed=589.2s
  step= 3000960 | eps/s=  4923 | success= 81.6% | miss=  2.7% | elapsed=609.6s
  step= 3100992 | eps/s=  4920 | success= 81.7% | miss=  2.7% | elapsed=630.3s
  step= 3201024 | eps/s=  4917 | success= 82.1% | miss=  2.7% | elapsed=651.0s
  step= 3301056 | eps/s=  4923 | success= 81.9% | miss=  2.7% | elapsed=670.5s
  step= 3401088 | eps/s=  4921 | success= 81.5% | miss=  2.6% | elapsed=691.2s
  step= 3501120 | eps/s=  4919 | success= 81.9% | miss=  2.6% | elapsed=711.8s
