nohup: ignoring input
=== spinoza RL Training ===
  n_envs=64, difficulty=1
  total_timesteps=20000000
  policy=MLP [512, 512]

  lr=0.0003 → 1e-05 (linear decay)
  model params: 622,607

  step=  100032 | eps/s=  3080 | success=  0.0% | miss= 99.8% | elapsed= 32.5s
  step=  200064 | eps/s=  3080 | success=  0.0% | miss= 98.8% | elapsed= 65.0s
  step=  300096 | eps/s=  3060 | success=  0.0% | miss= 95.5% | elapsed= 98.1s
  step=  400128 | eps/s=  3058 | success=  0.1% | miss= 94.3% | elapsed=130.8s
  step=  500160 | eps/s=  3060 | success=  0.0% | miss= 93.7% | elapsed=163.5s
  step=  600192 | eps/s=  3061 | success=  0.1% | miss= 93.4% | elapsed=196.1s
  step=  700224 | eps/s=  3062 | success=  0.1% | miss= 92.9% | elapsed=228.7s
  step=  800256 | eps/s=  3062 | success=  0.1% | miss= 92.5% | elapsed=261.3s
  step=  900288 | eps/s=  3064 | success=  0.1% | miss= 92.0% | elapsed=293.9s
  step= 1000320 | eps/s=  3027 | success=  0.1% | miss= 91.7% | elapsed=330.5s
  step= 1100352 | eps/s=  3032 | success=  0.1% | miss= 91.1% | elapsed=363.0s
  step= 1200384 | eps/s=  3035 | success=  0.1% | miss= 90.9% | elapsed=395.5s
  step= 1300416 | eps/s=  3039 | success=  0.1% | miss= 90.1% | elapsed=427.9s
  step= 1400448 | eps/s=  3038 | success=  0.1% | miss= 89.5% | elapsed=461.0s
  step= 1500480 | eps/s=  3039 | success=  0.1% | miss= 89.1% | elapsed=493.7s
  step= 1600512 | eps/s=  3037 | success=  0.1% | miss= 88.7% | elapsed=526.9s
  step= 1700544 | eps/s=  3038 | success=  0.2% | miss= 88.1% | elapsed=559.7s
  step= 1800576 | eps/s=  3040 | success=  0.2% | miss= 87.5% | elapsed=592.3s
  step= 1900608 | eps/s=  3025 | success=  0.2% | miss= 87.0% | elapsed=628.4s
  step= 2000640 | eps/s=  3026 | success=  0.2% | miss= 86.3% | elapsed=661.1s
  step= 2100672 | eps/s=  3028 | success=  0.2% | miss= 86.2% | elapsed=693.7s
  step= 2200704 | eps/s=  3028 | success=  0.2% | miss= 85.2% | elapsed=726.8s
  step= 2300736 | eps/s=  3029 | success=  0.2% | miss= 85.0% | elapsed=759.6s
  step= 2400768 | eps/s=  3029 | success=  0.3% | miss= 84.4% | elapsed=792.6s
  step= 2500800 | eps/s=  3031 | success=  0.3% | miss= 83.7% | elapsed=825.2s
  step= 2600832 | eps/s=  3031 | success=  0.3% | miss= 83.2% | elapsed=858.0s
  step= 2700864 | eps/s=  3030 | success=  0.3% | miss= 82.5% | elapsed=891.4s
  step= 2800896 | eps/s=  3030 | success=  0.3% | miss= 81.9% | elapsed=924.5s
  step= 2900928 | eps/s=  3018 | success=  0.3% | miss= 81.3% | elapsed=961.2s
  step= 3000960 | eps/s=  3017 | success=  0.3% | miss= 80.3% | elapsed=994.8s
  step= 3100992 | eps/s=  3017 | success=  0.3% | miss= 80.1% | elapsed=1028.0s
  step= 3201024 | eps/s=  3017 | success=  0.3% | miss= 79.5% | elapsed=1061.0s
  step= 3301056 | eps/s=  3011 | success=  0.3% | miss= 78.7% | elapsed=1096.4s
  step= 3401088 | eps/s=  3004 | success=  0.3% | miss= 77.9% | elapsed=1132.0s
  step= 3501120 | eps/s=  3004 | success=  0.2% | miss= 77.6% | elapsed=1165.6s
  step= 3601152 | eps/s=  3001 | success=  0.3% | miss= 76.6% | elapsed=1200.0s
  step= 3701184 | eps/s=  2998 | success=  0.3% | miss= 76.6% | elapsed=1234.6s
  step= 3801216 | eps/s=  2989 | success=  0.4% | miss= 75.6% | elapsed=1271.8s
  step= 3901248 | eps/s=  2984 | success=  0.4% | miss= 74.9% | elapsed=1307.3s
  step= 4001280 | eps/s=  2986 | success=  0.3% | miss= 74.2% | elapsed=1340.1s
  step= 4101312 | eps/s=  2982 | success=  0.3% | miss= 73.6% | elapsed=1375.3s
  step= 4201344 | eps/s=  2979 | success=  0.4% | miss= 72.7% | elapsed=1410.3s
  step= 4301376 | eps/s=  2981 | success=  0.4% | miss= 72.0% | elapsed=1442.9s
  step= 4401408 | eps/s=  2978 | success=  0.4% | miss= 71.5% | elapsed=1477.9s
  step= 4501440 | eps/s=  2978 | success=  0.4% | miss= 70.8% | elapsed=1511.7s
  step= 4601472 | eps/s=  2975 | success=  0.4% | miss= 69.8% | elapsed=1546.7s
  step= 4701504 | eps/s=  2974 | success=  0.4% | miss= 69.1% | elapsed=1580.7s
  step= 4801536 | eps/s=  2966 | success=  0.5% | miss= 68.1% | elapsed=1618.7s
  step= 4901568 | eps/s=  2966 | success=  0.7% | miss= 68.8% | elapsed=1652.3s
  step= 5001600 | eps/s=  2964 | success=  0.7% | miss= 67.7% | elapsed=1687.2s
  step= 5101632 | eps/s=  2962 | success=  0.7% | miss= 68.1% | elapsed=1722.3s
  step= 5201664 | eps/s=  2963 | success=  0.7% | miss= 66.4% | elapsed=1755.4s
  step= 5301696 | eps/s=  2961 | success=  0.8% | miss= 65.3% | elapsed=1790.4s
  step= 5401728 | eps/s=  2960 | success=  0.8% | miss= 64.6% | elapsed=1824.7s
  step= 5501760 | eps/s=  2962 | success=  0.9% | miss= 63.8% | elapsed=1857.7s
  step= 5601792 | eps/s=  2960 | success=  1.0% | miss= 63.7% | elapsed=1892.7s
  step= 5701824 | eps/s=  2952 | success=  1.0% | miss= 62.9% | elapsed=1931.2s
  step= 5801856 | eps/s=  2952 | success=  1.1% | miss= 61.5% | elapsed=1965.2s
  step= 5901888 | eps/s=  2950 | success=  1.2% | miss= 61.7% | elapsed=2000.5s
  step= 6001920 | eps/s=  2951 | success=  1.3% | miss= 61.6% | elapsed=2033.9s
  step= 6101952 | eps/s=  2949 | success=  1.3% | miss= 60.8% | elapsed=2069.1s
  step= 6201984 | eps/s=  2950 | success=  1.3% | miss= 59.9% | elapsed=2102.7s
  step= 6302016 | eps/s=  2948 | success=  1.5% | miss= 58.8% | elapsed=2138.1s
  step= 6402048 | eps/s=  2946 | success=  1.6% | miss= 59.3% | elapsed=2173.0s
  step= 6502080 | eps/s=  2946 | success=  1.6% | miss= 59.2% | elapsed=2207.0s
  step= 6602112 | eps/s=  2945 | success=  1.7% | miss= 57.1% | elapsed=2242.2s
  step= 6702144 | eps/s=  2938 | success=  1.7% | miss= 55.9% | elapsed=2280.9s
  step= 6802176 | eps/s=  2938 | success=  1.6% | miss= 55.1% | elapsed=2315.0s
  step= 6902208 | eps/s=  2935 | success=  1.8% | miss= 54.6% | elapsed=2351.7s
  step= 7002240 | eps/s=  2933 | success=  1.9% | miss= 54.3% | elapsed=2387.6s
  step= 7102272 | eps/s=  2933 | success=  2.1% | miss= 53.3% | elapsed=2421.1s
  step= 7202304 | eps/s=  2928 | success=  2.3% | miss= 52.7% | elapsed=2460.1s
  step= 7302336 | eps/s=  2920 | success=  2.4% | miss= 51.9% | elapsed=2500.6s
  step= 7402368 | eps/s=  2920 | success=  2.5% | miss= 51.3% | elapsed=2535.2s
  step= 7502400 | eps/s=  2890 | success=  2.5% | miss= 50.1% | elapsed=2596.3s
  step= 7602432 | eps/s=  2866 | success=  2.7% | miss= 49.5% | elapsed=2652.2s
  step= 7702464 | eps/s=  2860 | success=  2.8% | miss= 49.0% | elapsed=2693.5s
  step= 7802496 | eps/s=  2856 | success=  3.0% | miss= 48.1% | elapsed=2731.6s
  step= 7902528 | eps/s=  2856 | success=  2.9% | miss= 47.2% | elapsed=2766.9s
  step= 8002560 | eps/s=  2855 | success=  3.0% | miss= 46.2% | elapsed=2802.6s
  step= 8102592 | eps/s=  2854 | success=  3.1% | miss= 46.2% | elapsed=2838.7s
  step= 8202624 | eps/s=  2853 | success=  2.9% | miss= 47.2% | elapsed=2874.8s
  step= 8302656 | eps/s=  2853 | success=  2.9% | miss= 47.6% | elapsed=2910.5s
  step= 8402688 | eps/s=  2852 | success=  2.9% | miss= 48.3% | elapsed=2946.5s
  step= 8502720 | eps/s=  2852 | success=  3.2% | miss= 47.5% | elapsed=2981.1s
  step= 8602752 | eps/s=  2851 | success=  3.5% | miss= 44.6% | elapsed=3017.5s
  step= 8702784 | eps/s=  2851 | success=  3.7% | miss= 44.3% | elapsed=3052.8s
  step= 8802816 | eps/s=  2849 | success=  4.0% | miss= 42.7% | elapsed=3090.0s
  step= 8902848 | eps/s=  2835 | success=  4.0% | miss= 41.8% | elapsed=3139.8s
  step= 9002880 | eps/s=  2823 | success=  4.3% | miss= 40.6% | elapsed=3189.4s
  step= 9102912 | eps/s=  2816 | success=  4.3% | miss= 40.1% | elapsed=3232.8s
  step= 9202944 | eps/s=  2817 | success=  4.6% | miss= 39.5% | elapsed=3266.8s
  step= 9302976 | eps/s=  2819 | success=  4.8% | miss= 38.5% | elapsed=3300.4s
  step= 9403008 | eps/s=  2819 | success=  5.0% | miss= 37.7% | elapsed=3335.1s
  step= 9503040 | eps/s=  2818 | success=  5.2% | miss= 41.6% | elapsed=3372.4s
  step= 9603072 | eps/s=  2817 | success=  5.3% | miss= 39.9% | elapsed=3409.4s
  step= 9703104 | eps/s=  2815 | success=  5.4% | miss= 39.0% | elapsed=3446.9s
  step= 9803136 | eps/s=  2816 | success=  5.6% | miss= 38.1% | elapsed=3481.3s
  step= 9903168 | eps/s=  2816 | success=  5.6% | miss= 35.9% | elapsed=3517.1s
  step=10003200 | eps/s=  2815 | success=  6.1% | miss= 36.2% | elapsed=3552.9s
  step=10103232 | eps/s=  2815 | success=  6.1% | miss= 34.2% | elapsed=3589.3s
